Character,1,2,3,4,5,6,7
Lindsay Carlisle Shay,0,0,375,0,0,0,0
Bertram Rolands,0,0,29,0,0,23,0
Christine Porter,0,0,36,0,0,0,0
Joey Plunkett,0,0,6,0,0,0,0
Lauren,0,0,63,43,0,0,0
Lauren's Mom,0,0,80,0,0,0,0
Stuart,0,0,10,0,0,0,0
Ethel Beavers,0,0,86,197,88,112,103
William Barnes,0,0,171,367,0,0,0
Elizabeth Barnes,0,0,30,54,0,0,0
Tammy 1,0,0,0,335,0,0,0
Roy Hibbert,0,0,0,43,20,0,0
Ron's Mom,0,0,0,82,0,0,0
Derry Murbles,0,0,0,118,102,117,0
Alexis Pratchett,0,0,0,36,0,0,0
Jim Kabernick,0,0,0,20,0,0,0
Darren,0,0,0,68,0,0,0
DJ Bluntz,0,0,0,16,0,0,0
Millicent Gergich,0,0,0,49,68,0,0
Abigail,0,0,0,22,0,0,0
Casey,0,0,0,12,0,0,0
Martin Kernston,0,0,0,58,0,0,0
Herb Scaifer,0,0,0,289,0,0,0
Allison,0,0,0,135,0,191,0
extra,0,0,0,50,0,0,0
Linda Lonegan,0,0,0,238,0,0,0
George Williams,0,0,0,65,0,0,0
Pete Disellio,0,0,0,220,60,63,0
Music,0,0,0,30,19,28,128
Bobby Newport,0,0,0,1343,0,0,144
Ned Jones,0,0,0,159,0,0,0
Jennifer Barkley,0,0,0,1538,180,305,628
Buddy Wood,0,0,0,388,0,0,0
Councilman Houser,0,0,0,65,0,0,0
Fester Trim,0,0,0,102,0,0,0
Manrico Della Rossa,0,0,0,45,0,0,32
Bill,0,0,0,211,0,0,0
Barbara Boxer,0,0,0,0,15,0,35
Olympia Snow,0,0,0,0,10,0,0
John McCain,0,0,0,0,28,0,34
Kathryn Pinewood,0,0,0,0,352,137,0
Ellis,0,0,0,0,57,0,0
Jeremy Jamm,0,0,0,0,1914,1805,381
Zoe Lewis,0,0,0,0,83,12,0
Ivy Lewis,0,0,0,0,83,12,0
Councilman Milton,0,0,0,0,256,45,34
Diane Lewis,0,0,0,0,668,277,0
Congressman Murray,0,0,0,0,82,0,0
Marshall Langman,0,0,0,0,220,0,7
Morris,0,0,0,0,88,59,31
Herman,0,0,0,0,154,103,31
Julia Wyatt,0,0,0,0,128,0,0
Steve Wyatt,0,0,0,0,133,0,0
Ulani,0,0,0,0,56,0,0
Joe Biden,0,0,0,0,122,0,41
Wreston St. James,0,0,0,0,350,0,0
Gayle Gergich,0,0,0,0,122,0,51
Miriam Gergich,0,0,0,0,6,0,0
Gladys Gergich,0,0,0,0,6,0,0
Bjorn Lerpiss,0,0,0,0,88,0,0
Jim Irsay,0,0,0,0,24,6,0
Reggie Wayne,0,0,0,0,6,3,0
Andrew Luck,0,0,0,0,12,17,0
Newt Gingrich,0,0,0,0,5,0,0
Paula Horke,0,0,0,0,113,0,0
Dewey,0,0,0,0,71,0,0
Leonard Tchulm,0,0,0,0,291,0,0
Chief Fugleberg,0,0,0,0,77,0,0
Kim Terlando,0,0,0,0,164,0,0
Mona-Lisa Saperstein,0,0,0,0,636,195,62
Dennis Lerpiss,0,0,0,0,228,0,0
Stephanie Wyatt,0,0,0,0,99,0,0
Mayor Stice,0,0,0,0,193,0,0
Theodore,0,0,0,0,185,72,30
Garth Blunden,0,0,0,0,540,0,0
Chang,0,0,0,0,25,7,0
Trevor Nelson,0,0,0,0,183,367,221
Lord Covington,0,0,0,0,0,337,0
Dr. Saperstein,0,0,0,0,0,726,87
Ulee Danssen,0,0,0,0,0,142,0
Ingrid de Forest,0,0,0,0,0,485,0
Laura,0,0,0,0,0,48,0
Herman Lerpiss,0,0,0,0,0,22,0
Craig Middlebrooks,0,0,0,0,0,1317,517
Tynnyfer,0,0,0,0,0,167,0
Ron Dunn,0,0,0,0,0,408,107
Run Dunn,0,0,0,0,0,1,0
Ragiv,0,0,0,0,0,49,0
Evelyn,0,0,0,0,0,58,0
Nadia Stasky,0,0,0,0,0,553,0
Typhoon,0,0,0,0,0,21,98
Annabel Porter,0,0,0,0,0,313,133
Robert Mathis,0,0,0,0,0,3,0
Adam Vinatieri,0,0,0,0,0,8,0
Frank,0,0,0,0,0,69,0
Stu,0,0,0,0,0,57,0
Connie Cabbage,0,0,0,0,0,44,0
Nolan,0,0,0,0,0,120,0
Rivers,0,0,0,0,0,17,27
Harold,0,0,0,0,0,148,0
August Clementine,0,0,0,0,0,71,0
Rosie DeMarco,0,0,0,0,0,129,0
Doug DeMarco,0,0,0,0,0,96,0
Madison,0,0,0,0,0,75,0
Mitch Savner,0,0,0,0,0,240,0
Mike Patterson,0,0,0,0,0,123,136
Grant Larson,0,0,0,0,0,425,0
Harvey,0,0,0,0,0,299,0
Principal Russell,0,0,0,0,0,128,0
Chipp McCapp,0,0,0,0,0,218,0
Xander,0,0,0,0,0,78,0
Terrence Montreaux,0,0,0,0,0,43,0
Scott Tanner,0,0,0,0,0,147,0
Joe,0,0,0,0,0,290,233
Lester Kanopf,0,0,0,0,0,2,0
Mike Bean,0,0,0,0,0,103,110
Rebecca Varuvian,0,0,0,0,0,15,0
Liam Bonneville,0,0,0,0,0,14,0
Michelle Obama,0,0,0,0,0,90,0
The Decembrists,0,0,0,0,0,43,0
