Leslie Knope,then,234
Leslie Knope,thats,393
Leslie Knope,done,55
Leslie Knope,park,148
Leslie Knope,land,35
Leslie Knope,well,576
Leslie Knope,ive,177
Leslie Knope,worked,27
Leslie Knope,six,26
Leslie Knope,years,99
Leslie Knope,handled,1
Leslie Knope,proud,24
Leslie Knope,recently,13
Leslie Knope,led,3
Leslie Knope,citywide,3
Leslie Knope,drive,20
Leslie Knope,disinfect,1
Leslie Knope,sandbox,1
Leslie Knope,sand,2
Leslie Knope,after,62
Leslie Knope,had,162
Leslie Knope,those,108
Leslie Knope,problems,16
Leslie Knope,cats,3
Leslie Knope,chance,27
Leslie Knope,build,23
Leslie Knope,whole,46
Leslie Knope,new,118
Leslie Knope,from,288
Leslie Knope,scratch,6
Leslie Knope,hoover,2
Leslie Knope,dam,2
Leslie Knope,morning,34
Leslie Knope,talking,71
Leslie Knope,mayor,26
Leslie Knope,really,320
Leslie Knope,together,105
Leslie Knope,both,46
Leslie Knope,outsiders,1
Leslie Knope,hes,208
Leslie Knope,think,358
Leslie Knope,libyan,2
Leslie Knope,brainstorm,2
Leslie Knope,how,332
Leslie Knope,make,201
Leslie Knope,happen,42
Leslie Knope,priority,5
Leslie Knope,firepower,1
Leslie Knope,bigger,10
Leslie Knope,guns,2
Leslie Knope,form,7
Leslie Knope,committee,23
Leslie Knope,yeah,434
Leslie Knope,committees,3
Leslie Knope,power,10
Leslie Knope,lifeblood,1
Leslie Knope,democratic,1
Leslie Knope,system,12
Leslie Knope,write,23
Leslie Knope,eloquent,1
Leslie Knope,saying,25
Leslie Knope,phrase,3
Leslie Knope,collecting,1
Leslie Knope,memoirs,1
Leslie Knope,read,41
Leslie Knope,back,181
Leslie Knope,hmm,26
Leslie Knope,sounded,1
Leslie Knope,better,103
Leslie Knope,said,103
Leslie Knope,still,76
Leslie Knope,though,20
Leslie Knope,bringing,4
Leslie Knope,mark,60
Leslie Knope,which,82
Leslie Knope,brendanawicz,11
Leslie Knope,town,144
Leslie Knope,call,100
Leslie Knope,city,152
Leslie Knope,planner,4
Leslie Knope,kind,104
Leslie Knope,fixer,2
Leslie Knope,he,398
Leslie Knope,fixes,1
Leslie Knope,smart,22
Leslie Knope,capable,2
Leslie Knope,guy,85
Leslie Knope,knows,23
Leslie Knope,bodies,5
Leslie Knope,buried,4
Leslie Knope,whats,116
Leslie Knope,crazy,45
Leslie Knope,old,71
Leslie Knope,polish,3
Leslie Knope,person,59
Leslie Knope,hall,33
Leslie Knope,locker,2
Leslie Knope,room,39
Leslie Knope,gotta,19
Leslie Knope,there,325
Leslie Knope,snap,3
Leslie Knope,towels,4
Leslie Knope,give,109
Leslie Knope,business,32
Leslie Knope,cant,179
Leslie Knope,leave,38
Leslie Knope,lets,218
Leslie Knope,brass,1
Leslie Knope,tacks,1
Leslie Knope,today,77
Leslie Knope,clearing,1
Leslie Knope,schedule,13
Leslie Knope,told,48
Leslie Knope,was,595
Leslie Knope,thinking,51
Leslie Knope,turning,6
Leslie Knope,into,113
Leslie Knope,why,241
Leslie Knope,telling,10
Leslie Knope,favor,13
Leslie Knope,times,40
Leslie Knope,sake,6
Leslie Knope,complicated,10
Leslie Knope,closely,2
Leslie Knope,someone,68
Leslie Knope,share,5
Leslie Knope,similar,3
Leslie Knope,interests,2
Leslie Knope,world,56
Leslie Knope,view,7
Leslie Knope,passionate,5
Leslie Knope,same,30
Leslie Knope,slept,7
Leslie Knope,ms,11
Leslie Knope,perkins,22
Leslie Knope,safety,4
Leslie Knope,remember,49
Leslie Knope,last,103
Leslie Knope,night,85
Leslie Knope,college,6
Leslie Knope,intern,5
Leslie Knope,april,145
Leslie Knope,shes,103
Leslie Knope,going,361
Leslie Knope,documenting,1
Leslie Knope,fact,37
Leslie Knope,finding,6
Leslie Knope,mission,10
Leslie Knope,must,15
Leslie Knope,hero,12
Leslie Knope,man,76
Leslie Knope,heard,23
Leslie Knope,round,7
Leslie Knope,doing,126
Leslie Knope,son,8
Leslie Knope,entire,26
Leslie Knope,pawnee,353
Leslie Knope,let,119
Leslie Knope,everything,73
Leslie Knope,course,44
Leslie Knope,god,274
Leslie Knope,dream,29
Leslie Knope,second,54
Leslie Knope,ann,301
Leslie Knope,doesnt,66
Leslie Knope,neighborhood,8
Leslie Knope,deserve,13
Leslie Knope,firstclass,1
Leslie Knope,imagine,5
Leslie Knope,shiny,2
Leslie Knope,playground,7
Leslie Knope,jungle,1
Leslie Knope,gym,2
Leslie Knope,swings,2
Leslie Knope,pool,8
Leslie Knope,tennis,3
Leslie Knope,courts,5
Leslie Knope,volleyball,2
Leslie Knope,racquetball,1
Leslie Knope,basketball,4
Leslie Knope,court,8
Leslie Knope,regulation,2
Leslie Knope,football,1
Leslie Knope,field,10
Leslie Knope,amphitheatre,1
Leslie Knope,over,170
Leslie Knope,shakespeare,1
Leslie Knope,extra,10
Leslie Knope,try,42
Leslie Knope,worry,23
Leslie Knope,hard,69
Leslie Knope,hat,14
Leslie Knope,document,4
Leslie Knope,key,14
Leslie Knope,factfinding,1
Leslie Knope,battle,15
Leslie Knope,zone,2
Leslie Knope,george,9
Leslie Knope,bush,1
Leslie Knope,flew,2
Leslie Knope,orleans,1
Leslie Knope,richard,2
Leslie Knope,nixon,1
Leslie Knope,went,35
Leslie Knope,china,2
Leslie Knope,chinese,3
Leslie Knope,mmmmmm,1
Leslie Knope,fine,84
Leslie Knope,wearing,23
Leslie Knope,hit,22
Leslie Knope,rod,6
Leslie Knope,least,14
Leslie Knope,boss,14
Leslie Knope,listen,39
Leslie Knope,broke,18
Leslie Knope,clavicle,1
Leslie Knope,neck,3
Leslie Knope,foam,1
Leslie Knope,collar,1
Leslie Knope,brace,1
Leslie Knope,honestly,9
Leslie Knope,clavicles,2
Leslie Knope,broken,9
Leslie Knope,ooh,18
Leslie Knope,pancakes,6
Leslie Knope,made,101
Leslie Knope,ron,368
Leslie Knope,please,146
Leslie Knope,been,181
Leslie Knope,loyal,2
Leslie Knope,foot,6
Leslie Knope,soldier,1
Leslie Knope,shot,22
Leslie Knope,48,10
Leslie Knope,explain,8
Leslie Knope,youve,52
Leslie Knope,visited,2
Leslie Knope,bottom,5
Leslie Knope,perspective,4
Leslie Knope,means,26
Leslie Knope,subcommittee,15
Leslie Knope,sound,24
Leslie Knope,definitely,15
Leslie Knope,before,69
Leslie Knope,change,33
Leslie Knope,mind,29
Leslie Knope,mr,35
Leslie Knope,swanson,35
Leslie Knope,presume,1
Leslie Knope,46,2
Leslie Knope,thoughts,3
Leslie Knope,giving,21
Leslie Knope,him,245
Leslie Knope,everybody,99
Leslie Knope,wants,38
Leslie Knope,decision,14
Leslie Knope,phone,21
Leslie Knope,even,118
Leslie Knope,hurting,1
Leslie Knope,built,6
Leslie Knope,1935,1
Leslie Knope,called,50
Leslie Knope,pioneer,5
Leslie Knope,trivia,1
Leslie Knope,structures,1
Leslie Knope,america,28
Leslie Knope,ever,108
Leslie Knope,locks,2
Leslie Knope,crown,5
Leslie Knope,jewel,2
Leslie Knope,best,115
Leslie Knope,murals,3
Leslie Knope,depicts,2
Leslie Knope,very,242
Leslie Knope,famous,4
Leslie Knope,conega,1
Leslie Knope,creek,3
Leslie Knope,children,14
Leslie Knope,visit,11
Leslie Knope,often,8
Leslie Knope,cover,8
Leslie Knope,gruesome,2
Leslie Knope,parts,10
Leslie Knope,poster,4
Leslie Knope,animal,19
Leslie Knope,control,22
Leslie Knope,exciting,17
Leslie Knope,huge,20
Leslie Knope,barely,5
Leslie Knope,34,1
Leslie Knope,already,48
Leslie Knope,landed,1
Leslie Knope,exploratory,1
Leslie Knope,rocket,2
Leslie Knope,ship,3
Leslie Knope,hey,297
Leslie Knope,excited,18
Leslie Knope,should,241
Leslie Knope,conference,23
Leslie Knope,awesome,40
Leslie Knope,full,26
Leslie Knope,hope,28
Leslie Knope,small,30
Leslie Knope,towns,18
Leslie Knope,cities,1
Leslie Knope,real,60
Leslie Knope,delicious,10
Leslie Knope,beverages,1
Leslie Knope,hot,29
Leslie Knope,never,124
Leslie Knope,opportunity,5
Leslie Knope,strike,3
Leslie Knope,soul,12
