Tynnyfer,161.0
Ron Dunn,171.33333333333334
Run Dunn,0.0
Ragiv,48.0
Evelyn,24.0
Nadia Stasky,276.0
Typhoon,26.25
Annabel Porter,222.0
Robert Mathis,0.0
Adam Vinatieri,0.0
Frank,67.0
Stu,54.0
Connie Cabbage,37.0
Nolan,111.0
Rivers,17.5
Harold,146.0
August Clementine,64.0
Rosie DeMarco,125.0
Doug DeMarco,94.0
Madison,21.666666666666668
Mitch Savner,118.5
Mike Patterson,124.5
Grant Larson,140.0
Harvey,298.0
Principal Russell,125.0
Chipp McCapp,192.0
Xander,72.0
Terrence Montreaux,41.0
Scott Tanner,73.0
Joe,129.75
Lester Kanopf,0.0
Mike Bean,67.66666666666667
Rebecca Varuvian,13.0
Liam Bonneville,3.0
Michelle Obama,88.0
The Decembrists,41.0
Ginuwine,28.5
Kay Hanley,5.0
Bobby Knight Ranger,9.0
Dan,88.0
Roscoe,206.66666666666666
Zach Harrison,74.0
Pearl,64.0
Jen,40.0
Hank Muntak,186.0
Trodd,32.0
Josh Groban,0.0
Roz,64.0
Reporter,39.0
LeVondrious,31.0
Don Swanson,6.5
Vaughn Swanson,1.5
Lon Swanson,0.0
Randy,130.0
Kirsten Gillibrand,33.0
Orrin Hatch,39.0
Cory Booker,44.0
Madeleine Albright,112.0
Alyssa,23.0
June Hartwell,16.0
Kipp Bunthart,153.0
Sasha Dunkirk,0.0
Edgar Covington,77.0
John Cena,106.0
Walter Gunderson,63.0
Carl,19.0
Ian,12.0
Choir,6.0
Pastor,8.0
Jill Biden,30.0
Kid,23.0
